c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0.55,1.12,2.38,50,43,53.33,16.83,6.83,68.84,49.67,41.67
0.95,1.31,2.92,70,71.17,71.67,28.17,6.5,92.5,77.33,65
0.69,1.4,2.07,78.33,75.67,78.33,27.5,5.33,70.17,69.67,63.33
0,1.48,2.05,68.33,73,79.88,32,6.83,76.83,66.33,60
0.1,1.55,1.54,60,70.5,72.11,20.83,5.33,72.17,62.67,65
0.85,1.6,1.4,56.67,61.17,67.74,19.33,5.17,69,59.33,55
0.93,1.63,3.39,53.33,48.83,62.15,19.17,5.67,60,57.33,50
1.27,1.7,0.97,51.66,47.17,56.33,20.5,5.33,52.33,60.5,56.67
0.55,1.65,0.74,53.33,48.83,55.55,18.17,4,65.5,58.33,56.67
0.88,1.59,1.29,51.66,47.67,48.72,16.83,3.33,53.5,59,53.33
0.35,1.53,1.5,50,49.34,39.11,15.5,2.67,43.67,51.83,41.67
1.52,1.6,1.03,46.67,53.34,40.62,21,3,48.33,53.83,51.67
0.62,1.66,0.76,53.33,58,44.06,19.83,2.83,50.83,51.17,48.33
0.35,1.75,1.27,56.67,59.5,50.11,18.5,3.33,53.67,56.17,45
0.38,1.79,1.53,60,64.67,50.55,20.5,2.83,59,65.5,55
1.13,1.69,1.74,58.34,53,45.55,19.33,2.5,55.66,64.5,58.33
1.05,1.31,1.27,41.67,38.34,42.12,14.5,1.67,44.5,47.83,45
1.18,1.33,0.72,31.67,34.5,32.25,16.83,2,48.84,35,35
0.58,1.1,0.61,18.34,25,25.31,13.33,2.17,26.5,26.83,33.33
0.23,0.96,0.85,15,11.5,28.75,10,1,27.16,20.67,25
0.17,0.88,1.83,13.33,12.16,25.07,10.5,1.5,52.5,23.83,25
0.15,0.84,1.15,11.67,14.66,25.67,9.17,3.5,46.17,16.67,18.33
0.2,0.9,1.76,18.34,14.5,29.4,10.17,5.17,57.5,27.5,16.67
0.32,0.99,2.45,21.67,19,35.76,12,2.5,65.67,36.17,23.33
0.7,1.33,1.98,58.34,52.17,45.98,21.33,9.33,75.83,52.33,48.33
0,1.55,2.1,76.67,105.17,78.73,30.67,5.83,99.66,80.33,75
0,1.67,2.12,78.33,113.16,71.36,30.67,4.67,68.5,77.5,73.33
1.25,1.76,1.44,73.33,99.17,68.39,27.17,4.83,66.17,70.5,58.33
0.85,1.85,1.15,65,70.17,75.72,23,6,80.67,65.83,58.33
1.38,1.91,1.19,60,50.33,68.25,20.67,4.17,69.16,60.33,53.33
0,1.94,1.24,55,53,61.36,18.5,6.83,57.5,60.83,55
1.17,2.02,0.88,58.33,46.67,59.1,16.5,5.67,46.83,59.33,58.33
0,1.96,0.95,56.67,48.5,55.05,21,4.17,52.34,59.5,53.33
1.2,1.89,1.59,53.33,44.5,54.9,18.83,2.83,46.5,55.83,58.33
0.98,1.82,0.77,50,41.66,48.9,17.5,3.17,51.34,53.33,46.67
1.37,1.9,1.8,51.66,40.17,45.42,23.33,3.17,44.17,55.83,48.33
0.75,1.97,2.2,53.33,42,45.36,20.5,4.83,57.5,58,46.67
0.83,2.08,2.95,50,41.5,52.99,16.33,3.5,61.67,57.83,63.33
0,2.13,2.76,55,39.67,50.05,17.67,3.17,52,58.5,48.33
0,2.01,1.7,53.33,36.5,48.54,16.5,2.17,58.67,59.67,53.33
0.95,1.55,1.01,38.33,34.5,40.42,12.67,1.67,44.5,44.33,40
0.72,1.55,1.51,31.67,29,36.22,16,1.33,52.67,35.17,30
0.78,1.28,0.82,26.66,25.33,27.85,9.5,1.17,47.5,31.83,31.67
0.4,1.18,0.91,16.67,32.33,25.52,6.83,0.83,45.83,24.33,33.33
0.15,1.09,2.15,10,29.33,24.22,7.17,0.83,46.5,22.5,25
0.1,1.05,0.98,8.33,26.5,26.43,12.67,0.83,37.83,19,18.33
0.22,1.02,1.71,11.67,18.5,24.52,5.33,1,51.34,25.67,15
0.28,1.07,1.68,11.66,19.33,30.97,5.67,2,45.83,24.17,16.67
0.27,1.15,2.18,26.67,24.16,29.46,8.83,5.67,34.5,28.33,25
0.82,1.46,1.6,41.67,30.33,35.41,18,4.33,49.33,46,36.67
1.15,2.04,2.3,66.67,41.66,50.65,22.5,5.5,54.66,72.5,56.67
0,2.55,1.65,78.34,50.5,59.53,27,7.33,60.5,77.67,63.33
1.05,2.69,1.27,73.33,60.83,59.63,21.83,4,68.33,88.17,68.33
0.15,2.87,1.18,65,46.17,53.98,20.33,3,55.5,66,56.67
1.5,2.71,1.23,60,37.67,45,19.17,3,52.33,62.67,53.33
0.91,2.54,0.94,58.34,31.34,45,22.5,2.83,52.34,59.83,56.67
0.73,2.58,0.83,53.33,32.5,38.33,17.5,2,41.67,54.17,51.67
0.88,2.18,0.5,50,28.34,35,17.83,2.17,42.5,52.17,46.67
1.2,2.14,1.08,43.33,26.17,31.67,21.33,2.17,34,48.33,46.67
0.7,2.15,1.05,50,29.5,31.67,21.17,1.83,47,49,46.67
0.77,2.18,1.34,51.66,32.34,33.34,15.33,3.17,41,50,45
1.84,2.17,2.07,51.66,34.33,43.34,16.17,3,54,53.5,46.67
0,2.09,2.3,51.67,32.17,43.34,18.17,2.33,51,51.17,48.33
1.57,2.05,1.87,50,36.16,46.66,17.33,2.33,49.5,53.33,46.67
0.98,1.71,0.52,41.67,29.5,28.33,13.67,1.5,38.67,48.83,38.33
0.82,1.5,0.88,30,27.34,28.33,16.83,1.33,37.5,34.17,30
0.62,1.35,0.62,23.33,23.17,26.66,9.17,1.33,35.83,34.83,43.33
0.43,1.24,1.4,15,20.33,26.67,6.5,0.83,35.34,24.83,40
0.18,1.07,1.1,11.67,16.67,25,5.83,0.83,40.5,22.17,25
0.17,1.09,1.48,10,18.83,25,11.17,2.5,32.17,16.17,18.33
0.17,1.05,1.34,10,17.17,21.67,5,1.17,30,18.17,15
0.22,0.99,2.45,11.67,18.34,28.33,5.83,1.83,35.5,15.67,16.67
0.18,1.1,2.15,21.67,21.83,33.33,7.67,6.17,32.02,23.33,16.67
0.67,1.44,1.72,33.33,27,35,13.5,3,33.42,34.17,31.67
0,1.8,2.03,55,31,40,20.17,3.67,53.67,53.83,43.33
0.25,2.39,1.42,70,38.5,46.67,27.5,4.33,52.67,66.67,60
0.17,2.88,1.15,73.33,47.5,53.33,21.5,4.5,77.83,71.33,70
0.54,3,0.98,70,41.5,45,22.33,5.67,59.5,67.5,61.67
1.38,3.17,0.8,65,33.34,43.33,21,3.67,56.33,65,53.33
1.32,2.66,0.59,63.33,32.17,40,22.33,2.83,44.17,62.17,53.33
1.12,2.52,0.45,53.33,30.33,36.66,16.67,2.5,45,51.83,58.33
0.28,2.35,0.87,50,30.67,33.33,18,2.5,42,49.5,50
1.05,2.14,0.5,41.66,26.33,35,21.17,1.83,37.66,46.33,45
0.61,2.44,1.1,46.67,28.67,38.33,21.5,2.67,36.66,53.17,45
1.39,2.43,2.82,51.66,34.33,40,16.17,3,41.33,53.67,43.33
0.55,2.5,1.8,58.33,40.5,50,18.17,3.33,54,54,55
0.72,2.47,2.92,60,37,53.34,21.83,3.83,65.5,61.83,51.67
0.37,2.24,2.01,65,45,50,20,3.67,53.67,67.67,61.67
0.17,1.87,1.45,50,37.17,36.66,15.5,2,49.33,47.83,43.33
0.75,1.5,1.17,41.67,33.17,33.34,19.17,1.67,59.33,37.17,30
1.02,1.24,0.6,23.33,25.17,28.33,14.83,1.83,49.83,27.17,40
0.5,1.08,0.04,13.33,17.5,23.34,13,1,44.5,21,33.33
0.15,1,1.7,13.33,16.67,26.67,12.33,1.5,42.84,25.33,26.67
0.13,0.95,2.09,13.33,15.5,30,11.83,3.5,46.66,27,21.67
0.17,1.02,1.23,20,18,31.66,10.83,5,65.16,29.17,18.33
0.3,1.12,1.76,25,22.34,36.67,11.5,2.5,66.84,27,20
0.45,1.51,2.26,56.67,41.5,60,20.33,8.67,69.33,50.83,38.33
0.92,1.76,2.69,73.34,69.66,101.67,29,7,98.16,77.17,58.33
0,1.89,2.21,80,76.5,93.33,29.17,4.5,75.17,74.83,66.67
0.43,1.99,2.52,68.33,72.66,90,27.67,5.33,77.34,69,61.67
1.58,2.09,1.19,61.67,73.5,80,21.67,4.5,65.66,67.17,63.33
1.55,2.16,1.49,58.33,59.33,70,18.67,4.17,80.33,67.67,56.67
0.96,2.2,1.62,58.34,46,71.66,17.5,4,57.17,59.83,50
0.04,2.29,0.97,55,43.83,61.67,21,7.17,49,58.33,50
0.31,2.22,0.95,55,46,60,19.83,3.17,59.83,58.17,65
1.05,2.14,0.8,51.66,43,55,18.33,3.17,53.66,56.17,48.33
0.72,2.06,0.46,43.33,35.84,48.33,15.17,3.17,47.66,53,45
0.45,2.15,1.25,45,37.67,48.33,21.33,2.33,55.16,50.67,41.67
0.99,2.23,1.9,51.66,41.83,53.34,19.67,3.17,46.84,49.83,45
1.03,2.35,1.67,55,40.83,56.66,16.5,3.33,52,56.83,46.67
0.2,2.42,1.65,58.33,37.67,55,19.5,4.5,65,66,61.67
0.27,2.28,1.35,63.33,40.83,55,19.67,3,71.5,68,60
0.93,1.76,1.37,41.67,36.67,43.34,13.83,2.17,54.83,46.5,41.67
0.9,1.25,1.48,38.33,28.83,38.33,18.33,1.67,40.17,34.83,30
0.33,1.04,0.87,23.33,22.16,30,8,1.5,33.67,22.67,30
0.33,0.91,1.08,15,17,25,6.17,1.17,31.16,15.17,25
0.22,0.84,1.22,18.33,15.67,26.67,7,2.33,41.83,13.67,18.33
0.17,0.8,1.83,13.33,14.16,26.67,5.5,3.5,35,13.83,23.33
0.15,0.85,1.7,16.67,16.17,23.33,8.5,3.67,42,27.67,20
0.35,0.94,2.63,21.67,20,35,8.83,2,45,35.17,21.67
0.5,1.26,1.5,60,36.5,56.67,18.33,7.33,59,51.5,41.67
0.85,1.47,2.03,75,69.84,81.67,27.5,7.83,82.84,78.17,56.67
0,1.58,2.37,71.66,60.67,91.66,28.83,8,78.34,74.33,61.67
0,1.66,1.19,66.67,64.83,85,25,5.33,81.83,66,55
0,1.75,1.54,60,63.17,75,18.33,5.17,72.84,64.5,66.67
0.75,1.8,1.12,58.33,54.67,66.67,18.33,5.17,62.33,60.17,53.33
0.1,1.83,1.93,55,45.33,66.67,18.83,5.17,60.5,57.83,56.67
0,1.91,2.03,56.66,41.17,58.33,17.83,7.83,62.5,63.83,53.33
0.87,1.86,2.18,51.66,43.84,56.66,17.17,4.5,69.17,60.33,61.67
0.89,1.79,2.07,51.66,44,55,16.5,4.5,56,55.5,50
0.48,1.72,1.57,46.67,35,46.67,15.5,4,48.84,49.83,43.33
0.38,1.8,1.53,46.67,37,46.66,20.17,4,49.83,54.5,45
0.47,1.86,1.4,53.33,38.5,50,19.5,5,49.33,50.33,50
0.55,1.97,2.08,53.33,41.67,55,17,3.33,58.67,56.17,46.67
2.43,2.02,1.68,63.33,39.34,56.66,21,4.33,62.84,66.33,66.67
1.6,1.9,1.37,66.67,38.83,56.66,19,3,63,70.5,66.67
1.2,1.47,1.01,46.67,35.83,43.34,14.5,2.5,57.17,49.33,46.67
1.05,1.08,0.85,40,34.16,36.66,22,2,53.33,38.33,31.67
0.42,0.9,0.45,23.33,22,26.66,13.17,2,50.84,28,36.67
0.33,0.78,0.35,11.66,17.67,26.67,12.17,1,35.83,21.17,26.67
0.32,0.72,2.24,16.67,21.17,30,11.83,0.83,54.33,24.5,33.33
0.15,0.69,2.26,11.66,19.5,33.33,9.17,2.5,51.17,17.17,23.33
0.15,0.74,2.31,20,21.83,30,10,5.5,43.34,29.17,21.67
0.42,0.81,2.64,25,20.16,36.67,9.67,4.33,64,26.5,23.33
0.42,1.09,1.37,58.34,39.5,60,20.83,7.33,80.17,56.5,43.33
0.68,1.27,2.59,78.33,67.5,100,29.5,7.5,96.34,78.67,66.67
1.33,1.36,2.06,71.66,73,95,29.33,5,91.83,71,71.67
0.01,1.44,1.62,68.34,64.16,81.67,26.17,8.5,66.66,66.67,53.33
0,1.51,1.82,60,61,75,20.33,6.67,56.5,60.17,51.67
0,1.56,1,70,54.5,65,22.17,8.17,68.17,61.83,50
0.26,1.58,1.85,51.66,45.33,60,19.83,9,64.17,59.17,56.67
0.4,1.65,1.14,50,37.5,55,18,7.5,60.17,53,51.67
0.57,1.6,1.54,53.33,44.34,60,18.33,5.5,49.66,57.67,51.67
0.39,1.54,2.1,50,44.16,60,17.17,4.5,47.67,54.67,61.67
0.83,1.48,0.85,48.34,37.83,50,16.83,3.33,48.67,49.17,48.33
1.52,1.55,1.78,48.34,39.16,51.67,21.17,2.5,51.84,50.67,46.67
1.2,1.61,0.8,51.66,41.5,58.33,20,4,50.33,54.67,45
0.93,1.7,1.97,56.67,46,58.33,16.5,4.17,64.33,57.17,48.33
1.47,1.75,2.84,61.66,40.33,55,20.33,3.5,60.34,66.5,58.33
1.5,1.64,1.09,60,42.33,56.66,17.5,3.33,58.5,65,61.67
0.47,1.27,0.57,40,34.83,46.66,13,3,51.17,45.67,40
0.82,1.12,1.28,36.67,29.34,40,16.67,1.83,40.16,33.67,36.67
0.4,0.93,0.97,20,21.33,31.67,9.5,1.33,44.5,35.67,40
0.37,0.81,1.28,13.33,16.66,30,8,1.17,34,21,26.67
0.18,0.75,1.34,16.67,13.5,25,8.83,1.5,33.67,20,16.67
