c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
0,1.98,1.73,65,76.5,90,27.67,5.33,75,67.67,58.33
0,2.08,1.43,61.67,69,86.67,20.33,4.5,72.83,70,56.67
1.28,2.15,1.9,60,57.5,78.34,20.17,3.33,63.33,62.83,58.33
0.15,2.18,1.62,53.33,51.16,58.33,19.67,4.5,67.5,57.67,51.67
1.44,2.28,1.85,53.33,48.66,58.33,20.5,6.17,50.17,56.5,50
1.02,2.21,0.92,50,50.66,55,16.33,4.33,64,56.83,53.33
1.73,2.13,1.03,51.66,47.67,55,17.33,3.67,49.34,56.33,56.67
0.62,2.05,1.07,45,39.5,50,16.5,2.83,44.5,50.67,48.33
1.08,2.14,1.25,43.34,42.5,50,20.83,3,51.83,51.33,38.33
0.2,2.22,0.98,48.34,45,55,20.5,3.83,51.17,56.17,46.67
0.59,2.34,2.17,53.33,43,58.33,16.33,3.33,68,57.5,53.33
0.98,2.41,2.3,63.33,44.33,55,20.17,4.17,75.34,65.83,51.67
1.14,2.27,1.45,60,45.83,63.33,19,4,70.67,73.17,63.33
1.02,1.75,1.23,46.67,41.17,46.67,13.5,2.5,55.84,52.33,43.33
0.82,1.25,1.48,38.33,34.83,43.33,18.33,1.83,44.83,35,30
0.45,1.03,0.88,21.66,27.33,30,10,1.5,42,23,30
0.15,0.9,1.45,13.33,22.5,28.34,10.67,1,40.83,16.67,26.67
0.23,0.83,0.97,15,22.16,31.66,9.83,2.17,43.83,13.67,20
0.2,0.79,2.2,11.66,20.16,30,10.83,4,40,15.17,20
0.12,0.85,1.73,16.67,21,28.34,10,4.83,48.5,24,21.67
0.6,0.93,2.25,21.67,26,36.67,10.17,1.83,51.67,35,21.67
0.55,1.25,1.92,55,41.33,58.33,18.33,7.33,71.67,50,40
0.8,1.46,2.11,73.34,77.17,88.33,29,7.83,99.5,73.67,61.67
0.73,1.57,2.05,70,69.17,91.67,30.83,7.33,75.5,74,58.33
1.03,1.65,1.28,61.67,73,85,28.33,6.17,59.5,69.33,68.33
0.09,1.74,1.38,60,66.84,75,18.83,6.67,64.67,70.5,60
0.43,1.79,1.73,53.33,55,75,23.67,6.83,53.66,59.83,56.67
0,1.82,1.33,56.66,42.5,66.67,18.67,10.5,58.83,59,51.67
0,1.9,1.79,48.34,41.5,56.66,18.33,8.5,48.33,54.33,56.67
0.62,1.85,1.5,53.33,41.5,58.33,17.83,2.83,57.83,55.83,50
1.12,1.78,1.15,53.33,41.33,55,18,4.17,52.84,54.17,55
0.42,1.71,1.2,43.34,37,45,19.17,3.17,43.83,48.5,41.67
1.38,1.78,1.96,46.67,36.17,51.67,22,2.67,54.34,52.67,55
1.2,1.85,2.2,55,38.33,51.67,20.17,4,63.5,54.83,50
1.58,1.95,1.98,55,42.17,61.67,16.33,3.5,56.67,57.5,48.33
0.89,2.01,2.35,61.67,35.83,61.66,20.67,5,66,66.83,53.33
0.78,1.89,2.56,61.66,41.83,55,19,3.83,59.17,67.17,60
0.7,1.46,0.76,48.34,37.34,43.34,14,3,57.17,50.33,46.67
0.77,1.08,1.11,40,31.17,40,17,2,57.67,35.33,31.67
0.4,0.89,0.68,21.67,23,33.33,12,2.33,48,30,46.67
0.25,0.78,0.65,11.67,17.5,30,11.83,1,43,22.17,35
0.45,0.72,2.47,13.33,16.34,31.66,12.5,1,64.33,24.67,25
0.08,0.69,3.18,13.33,14.17,33.33,13.5,3,47.84,26,23.33
0.17,0.73,2.5,16.67,15.34,31.66,11.5,4.5,59.34,36,23.33
0.4,0.81,2.53,23.34,21.67,36.67,12,5.17,58.33,24.67,25
0.42,1.09,2.52,56.67,37.5,63.34,19.67,8.5,91,53.33,38.33
0.33,1.27,3.2,71.66,61.83,93.33,30,6.5,99.84,83,61.67
0,1.36,2.78,70,64.34,91.66,28.67,8,81.5,75,66.67
0,1.43,1.53,63.34,66,78.33,26.83,8,68.5,68.33,66.67
1.24,1.51,2.02,60,62.83,78.33,20.17,7.5,64.5,61.5,61.67
0,1.55,1.79,56.67,55.5,76.67,20.33,7.67,66.17,58.5,63.33
1.07,1.58,1.56,51.67,43.33,63.34,24.17,4.33,54.5,59,55
0.05,1.65,0,56.67,44.67,55,27,3.83,57,55.33,60
1.6,1.6,0.82,50,42.17,55,16.83,3.5,61.84,58.33,61.67
0.37,1.54,0.85,46.67,42,55,17.83,4.17,48.5,54.33,55
0.63,1.48,0.95,46.67,36.17,51.67,16.33,3.5,60.67,52.83,46.67
0.2,1.55,1.38,48.33,34.5,50,24.83,4.17,60.67,52.83,45
1.98,1.61,0.78,51.66,43.34,58.33,20.33,4.17,64.67,57.17,60
1.07,1.69,2.92,55,44,58.34,16.33,4.5,69.5,56.83,46.67
0.35,1.74,2.75,63.34,39,61.67,22,5,60.5,74.83,56.67
0.77,1.64,1.34,63.33,40.17,63.33,18.33,2.67,63.5,67.83,60
0.87,1.27,1.27,43.33,38,46.66,15.17,2.17,66,49.17,46.67
0.78,1.12,1.23,36.67,30,40,19.17,2.33,52.66,39,33.33
0.32,0.93,1.1,21.66,21.67,33.33,13,1.5,38.5,27.83,31.67
0.23,0.81,1.8,15,17.5,26.67,12.67,1.33,54.67,22,35
0.2,0.75,1.75,11.67,18.67,31.67,13.83,1.83,65.67,30,26.67
0.15,0.71,2.1,6.66,17,25,14.5,4.33,32.84,15.67,15
0.18,0.76,1.62,10,17.16,23.33,11.33,2.67,36.66,15,10
0.3,0.84,1.81,13.33,18.5,33.33,11.67,5.33,45.33,19.17,16.67
0.52,1.13,2.07,41.66,36.67,51.66,18.33,5.17,61.17,46,35
0.43,1.32,2.35,63.34,69,80,30,6.17,79.5,71.17,50
0.87,1.42,2.56,65,64,75,28,4.33,64.34,67,51.67
1.47,1.49,2.82,60,59,71.67,23.33,5,59.66,63.17,51.67
0,1.57,2.89,53.33,58.5,66.66,19.83,4,60.67,57,58.33
0,1.62,2.82,51.66,46.5,61.67,17.83,3.33,50.34,55.17,60
0.2,1.65,1.57,46.67,46.66,55,17.83,3,57.17,53.17,46.67
1.47,1.71,1.24,53.33,40.5,53.34,18.33,3.33,54.17,55.17,50
0.33,1.67,1.5,48.34,44.16,53.34,19.33,3.5,47.17,55.33,48.33
1.05,1.6,1.21,50,40.83,50,17.17,3,53.33,54,60
1.18,1.54,1.09,45,39.16,43.34,14.67,3.17,42.17,49.33,46.67
0.92,1.61,1.1,43.33,32,43.34,21,2.67,43.5,51.17,46.67
1.25,1.67,0.85,45,37.67,45,19.83,2.83,51.66,51,48.33
0.93,1.76,1.15,48.33,40.5,50,15.33,3.83,51.83,50.83,45
0.97,1.81,1.54,55,34.66,51.67,18.83,4.33,55.33,58.5,50
0.95,1.71,1.2,58.34,41.5,51.67,20.17,2.67,55.66,63,58.33
0.92,1.32,0.85,40,37,40,13,2.33,47,49.83,45
0.85,1.34,0.32,35,32.5,36.67,16.83,2.17,45.66,39.67,35
0.33,1.11,0.58,20,25.5,30,14,1.5,43.83,27.33,41.67
0.45,0.97,0.98,15,19,28.33,10.83,1.33,51.66,21.67,26.67
0.22,0.9,1.74,13.33,16.67,26.67,11,1.67,58.67,23.17,25
0.15,0.85,2.4,11.66,16.5,28.33,15,4,56.5,17.17,23.33
0.22,0.91,2.33,20,17.5,28.34,9.33,2.67,66,23.83,20
0.32,1,2.28,25,21,31.66,11,5.17,79.5,36.5,25
0.47,1.35,2.45,55,41.33,53.33,25.67,7.17,90.33,50.67,41.67
0,1.58,2.09,65,63.66,83.34,28.17,6.5,92,70.83,58.33
0,1.69,1.77,73.33,68,83.34,29.33,6.33,86.83,68.67,63.33
1.65,1.78,1.55,65,67.17,76.67,26,4.67,59.33,62.5,61.67
1.62,1.87,1.49,63.33,63.33,70,19,3.67,58.17,62.17,71.67
0.54,1.93,2.14,55,52,66.66,22.17,3.33,50.5,60.17,51.67
1.47,1.97,0.8,53.33,49.66,55,19.17,3,61,56.83,50
1.22,2.05,1,56.66,40.16,55,20.83,3.83,53.17,55.33,48.33
2.35,1.99,0.55,50,42.83,51.67,20.17,5.67,55.67,56.33,61.67
1.45,1.92,0.99,50,42.84,50,19.33,3,51,54.33,51.67
1.3,1.84,1.68,43.33,37,50,20.67,2.5,50.66,51.5,46.67
1.9,1.92,2.38,50,36,46.66,21.33,3.17,41.16,51.5,43.33
2.72,2,0.73,50,38.17,46.66,21.17,2.83,40.34,56,48.33
2.3,2.11,1.4,50,37.66,50,16.67,2.33,52.5,54.83,46.67
2.02,2.16,1.77,56.67,33.83,50,18.17,3.33,47.33,57.17,46.67
1.82,2.04,1.6,48.33,33.33,46.66,16,2.33,48.34,54.67,50
0.87,1.58,0.82,35,29.17,36.66,12.33,1.67,47.83,39.5,43.33
1.18,1.56,0.45,33.34,25.83,31.67,16.83,1.17,53.33,34.83,31.67
0.42,1.29,0.85,25,22,31.66,8.67,1.17,52.83,31,43.33
0.32,1.19,0.93,16.67,20,28.33,6.5,1,53.33,25,36.67
0.2,1.1,1.3,10,17.16,23.33,6.67,1,63.5,23.67,26.67
0.12,1.06,2.27,8.33,15.66,25,13.5,1,47.16,19,21.67
0.22,1.03,2.19,10,15.17,26.67,6,0.83,57.5,23.33,16.67
0.18,1.08,2.28,11.67,17.5,26.67,5.5,1.67,43.83,15.83,13.33
0.01,1.16,1.76,20,21.67,35,8.5,6.33,38.67,23.17,25
0.95,1.47,1.15,36.66,27.84,43.34,16.5,4.5,38.17,40.67,36.67
0,2.05,1.35,61.67,37.17,51.67,22.5,3.33,53.16,60.33,51.67
0,2.57,1.45,70,49.67,51.66,26.33,3.5,60.5,68.67,56.67
0,2.71,2.23,66.67,45.16,55,20,3,61,68.33,63.33
0.3,2.89,1.96,58.34,44.34,53.33,22,3.17,67.17,61.5,58.33
0.26,2.74,1.15,55,31.83,46.67,19.5,2.67,50.83,56.5,51.67
0,2.56,0.75,51.67,30.66,43.33,17.83,2.17,41.34,55.17,48.33
0,2.6,0.73,51.67,26.67,36.66,17,2.67,41.33,56.83,51.67
0,2.2,0.59,48.33,26.67,31.67,16.83,2.33,41.66,49.83,46.67
0,2.16,1.25,41.67,21.5,30,20.67,2.17,41.5,43.83,43.33
0.92,2.17,1.52,43.34,28.17,35,20.5,2,41.17,48.67,48.33
0.16,2.2,1.06,46.67,27.67,33.34,14.17,3,43,50.83,41.67
1.62,2.19,1.13,48.34,28.67,36.66,14.33,2.17,46.84,50.17,43.33
1.43,2.1,0.8,48.33,27,40,15.83,3.5,48.33,52.5,41.67
0,2.06,0.82,45,30.5,41.67,14.67,2,42.67,46.5,43.33
0,1.72,0.61,36.67,25.66,30,11.83,1.5,41.17,37,35
1.02,1.5,0.8,26.67,22.33,31.67,17,1.33,42.5,29.33,36.67
0.47,1.35,0.9,18.34,18.17,33.33,8.33,1.17,38,29.17,36.67
0.52,1.24,1.42,13.33,16.33,25,6,1.17,42.83,23.5,26.67
0.15,1.07,0.98,13.33,13.16,23.34,6,2.83,45.5,22.67,20
0.18,1.09,2.06,10,14.33,25,11.83,2,37.16,15.5,16.67
0.37,1.05,1.3,11.67,14.5,25,5.33,0.83,39,13.83,10
0.42,0.99,2.32,10,16.84,28.34,5.5,1.67,40.83,16,13.33
0.4,1.1,0.73,18.34,19.17,33.33,7.5,6.17,43.67,20,18.33
0.7,1.44,1.23,30,20.5,31.67,11.67,4,28.83,28.67,28.33
1.17,1.8,1.75,48.34,27.67,40,20,6.5,45,45.67,46.67
0,2.39,1.05,65,31.17,41.66,25.67,4.5,42.67,60,51.67
0,2.87,0.92,70,38.5,43.33,20.33,3.5,50.5,67,61.67
0.5,3,1.13,66.66,35.66,46.67,21.5,3.17,55.66,65.5,60
1.45,3.17,1.33,58.34,30.33,40,20.5,3.17,46.17,61,55
1.7,2.66,1.14,58.34,26.17,38.33,18.33,2.67,41.33,57.17,55
0.47,2.52,0.23,48.33,31.17,35,16,2.5,40.67,49.33,50
1.29,2.35,0.38,48.33,26.33,31.67,16.67,2.33,34.66,54.5,45
1.07,2.14,0.85,41.67,21.84,33.34,20,2,34.67,41,40
0,2.43,0.78,45,28,36.66,21.17,2.5,33.34,46.17,45
1.45,2.43,0.43,51.66,31.33,40,16.17,2.83,43.67,51.67,45
1.04,2.5,1.5,50,35,43.33,15.83,3.83,54.67,54.67,48.33
0.23,2.46,1.07,63.33,36.84,51.67,21.17,3.67,61,58.83,51.67
1.44,2.24,1.46,56.67,38.17,53.34,19,2.33,52,61,53.33
0.73,1.86,0.85,45,32.67,40,13.83,1.83,59.34,45.83,41.67
0.62,1.49,1.09,36.67,28.17,36.67,17.83,1.83,54.5,34.67,36.67
0.8,1.23,0.92,23.33,21.5,33.33,11.83,2,38.33,27.5,33.33
0.53,1.07,0.93,15,15.5,21.67,12.5,1,57.33,21.83,21.67
0.18,0.99,2.42,15,14,25,13.33,3.5,56.84,25.5,21.67
0.17,0.94,2.78,15,14,30,14.17,2.17,50.67,26.83,18.33
0.2,1.01,2.4,20,17,31.66,11.5,6.33,57.33,34.67,18.33
0.43,1.11,3.1,25,18.84,36.67,11.67,2.67,82.34,25.5,18.33
0.32,1.49,1.39,56.67,37.83,60,19.33,5.33,90,50.67,40
0.58,1.74,2.42,66.67,60.67,88.34,30.33,7,76.16,70.83,53.33
1.07,1.87,2.35,71.67,63.83,90,29.5,5.33,92.83,73.17,60
1.22,1.97,2.1,68.34,68.66,85,27.33,4.67,68.17,71.17,71.67
0,2.07,1.41,63.34,66.34,83.33,20.5,4.83,58,65.67,55
0,2.14,1.82,58.33,59,71.67,19.17,4.83,60.5,57,53.33
0,2.17,1.75,56.67,50.17,65,17.67,4.17,53.66,57.17,53.33
0,2.27,1.2,55,41.5,53.34,21.5,5.83,63.34,59.17,53.33
0.72,2.2,1.76,50,43.67,55,24.83,3.33,47.5,55.83,60
0.95,2.12,1.48,46.67,44.33,53.34,19.33,3,52.33,54,46.67
1.22,2.04,1.18,45,38.66,46.66,18,2.33,44.5,49.83,43.33
1.25,2.13,1.97,40,32.83,46.67,23,3.83,43.5,52.17,51.67
2.16,2.21,2.14,48.34,41.34,51.67,20.17,3.67,39.83,53.83,43.33
1.21,2.33,3.69,51.66,42,53.34,16.17,2.83,50.5,56.67,45
0.75,2.39,2.95,53.33,36,51.67,22,3.5,61.83,60.5,50
1.13,2.26,2.12,55,43,58.33,18.5,3.17,59.5,68.33,60
0.72,1.74,1.75,41.67,38.33,45,19,2,56.83,48.17,46.67
0.58,1.24,1.67,38.33,30.17,40,18.17,1.5,49.34,34.5,31.67
0.3,1.02,1.27,21.67,20.67,33.33,10.33,1.33,40.34,23.5,35
0.23,0.89,1.38,15,15.67,26.67,10.17,1,44.33,15.83,26.67
0.25,0.83,1.54,16.67,15.67,26.67,11,3.5,42.5,13.33,18.33
0.12,0.79,2.56,11.66,15.66,26.67,11.5,3.17,44.67,15.5,20
0.12,0.84,2.03,13.33,18.33,26.67,9.17,6.5,46.84,25.17,20
0.5,0.92,2.85,23.34,19.84,40,9.83,3.33,50.5,34.5,23.33
0.72,1.25,1.33,53.33,41.17,56.67,16.67,5.5,70.34,52.17,40
0.77,1.45,3.1,68.33,62.17,80,27.67,7.67,79.67,74.33,56.67
0.88,1.56,2.58,68.34,65.67,88.33,25.83,6.5,69.5,74.17,55
0,1.64,1.95,56.67,66.5,75,26.5,6.5,61.5,63.17,63.33
0,1.73,1.24,53.33,62.5,73.34,18.83,4.17,52.5,62.33,53.33
0,1.78,0.9,48.33,51,65,19,3.33,62.17,73,50
0.97,1.81,0.73,53.33,47.33,55,18.17,3,56.83,55,46.67
1.53,1.89,1.91,48.34,39.5,53.34,18.17,3.67,52.33,55.67,60
1.42,1.83,1.42,46.67,41,51.67,18,2.83,45,57.67,56.67
0.12,1.76,1.27,45,41.83,48.33,19,3.33,49,54.83,50
1.72,1.7,1.05,43.33,34.5,46.66,16.83,2.17,41.5,50.33,45
1.99,1.77,0.95,40,38.17,43.34,20.67,2.5,40.66,49,45
0.7,1.84,1.4,48.34,36.17,51.67,20.67,2.67,52.83,56.17,46.67
1.7,1.94,2.97,51.67,40.67,51.67,17.33,4,56.5,56.67,45
0.9,1.99,1.77,58.33,38.33,53.34,19.83,3,62.16,63.5,58.33
0.74,1.88,2.02,58.34,40,51.67,19.33,2.83,60.33,65.33,60
0.87,1.45,1.42,40,35,43.33,14.5,2.33,61.17,46.67,45
0.82,1.08,1.47,35,32.17,41.67,20.5,1.67,53,35.17,33.33
0.48,0.89,0.87,20,23.17,35,12,2.17,49.33,25.67,33.33
0.22,0.78,0.78,11.66,15.5,26.66,10.67,1.17,53.17,20.33,35
0.27,0.72,2.05,15,15.5,31.66,10.67,3.67,55.67,24.5,25
0.18,0.69,2.66,11.66,15.33,33.33,12.17,2.17,56,18.67,25
0.27,0.73,2.6,20,15.17,30,13,6.5,51.33,25.33,21.67
0.45,0.81,2.57,25,19,33.33,14,3,69,36,23.33
0.48,1.09,1.98,55,38.16,63.34,19.67,6.5,89.34,56.17,40
0.65,1.27,2.96,66.67,66.33,86.67,30.83,5.5,97.17,72.17,58.33
0,1.36,3.36,65,67.67,83.33,29.83,4,74.67,68.17,63.33
1.03,1.43,1.41,58.33,63.67,70,27,5.5,58.5,67.5,63.33
0,1.5,2.22,53.33,62.33,73.34,21.33,4,73.84,66.83,60
0.59,1.55,1.12,55,52.67,66.67,18.33,4.17,75,53,50
0.47,1.58,1.47,48.34,47,60,18.5,3.83,57.17,59.17,46.67
1.73,1.64,1.87,46.67,39.17,53.33,18.33,6.5,53,54.83,48.33
0,1.6,1.09,46.67,43.16,48.33,17,4.17,63.5,58.83,61.67
0.85,1.54,1.78,46.67,42.16,55,17.17,3.17,52.67,53,48.33
0.83,1.48,0.88,40,33,50,15.83,2.5,51,50.5,50
0,1.54,1.19,40,36.67,46.67,20.5,2.33,55,53.33,43.33
1.54,1.6,1.24,45,37.17,51.67,20,3.5,42,55.67,55
1.65,1.69,1.48,53.33,43.5,53.33,15.33,3.33,55.67,55.33,48.33
1.17,1.74,2.62,61.67,40.17,56.67,21.17,4.33,76,68.67,56.67
1.18,1.64,2.26,60,40.33,58.33,19.67,3.5,61.33,68,63.33
0.85,1.27,1.57,45,35.17,48.33,14.5,1.83,48.33,46,43.33
1.18,1.13,2,35,30.33,40,20.83,1.67,57.17,35.33,30
0.4,0.93,1.22,21.67,22.83,38.34,11.83,1.5,53.33,29.67,30
0.45,0.82,1.68,15,17.5,28.34,11,1.17,63.5,21.83,33.33
0.28,0.75,1.75,13.33,15.5,30,11.83,3.5,45,22.83,23.33
0.17,0.72,2.67,11.66,17,26.67,12.67,3.17,57.33,18,23.33
0.22,0.77,2.27,16.67,16.5,28.34,13,6.33,68.17,25.17,20
0.72,0.84,2.67,21.67,18,36.67,13.67,3,59.17,27.33,18.33
0.72,1.14,2.45,53.34,38.83,56.67,19.67,6.33,78.67,49.5,41.67
0.85,1.33,1.82,66.67,66.34,78.33,31.5,6.5,96.16,70.67,55
0.78,1.42,2.65,63.33,62.67,88.34,30.83,7.33,82.5,67.17,60
0.1,1.5,2.17,61.67,66.67,75,15.33,5.33,65.17,68.5,65
0,1.58,1.65,53.33,60.66,73.34,10.5,4.33,59,61.83,55
0,1.63,1.79,48.34,51.33,70,11.17,4,63.16,57.5,48.33
0.05,1.65,1.47,53.33,43.83,58.33,10.33,3.5,54.5,55.83,48.33
1.47,1.72,0.88,48.33,40,53.33,15.17,3.67,63.84,55.17,58.33
1.28,1.67,0.95,48.33,42.34,51.67,17.17,2.83,63.66,54.83,56.67
1.3,1.61,0.65,46.67,41.5,51.67,18.5,3.17,50.66,53.67,51.67
0,1.55,0.8,43.34,37.16,43.34,16.83,2.33,40.33,48,45
0,1.62,0.75,40,34.66,45,21.67,3,50.66,47.67,50
0.97,1.68,1.2,46.66,38,50,21,2.83,45.5,66,55
1.25,1.77,2.85,46.67,37.67,53.34,17,4.17,64.16,57.33,43.33
0.6,1.82,2.8,56.67,38.67,50,21.33,5.67,58.33,63.83,55
1.67,1.72,1.73,56.67,35.83,55,19,2.83,64.33,61.33,60
1.3,1.33,1.23,38.33,31.17,41.67,14.17,2,49.83,49.17,45
0.75,1.35,0.9,33.34,27.17,36.67,20.83,1.83,54.33,35.33,33.33
0.58,1.12,0.9,20,20.17,36.67,12.17,2.5,44.67,30,41.67
0.52,0.98,1.1,13.33,15.5,25,10.33,1.17,53.5,22.17,36.67
0.3,0.9,1.77,15,13.67,30,12.17,3.67,43.83,24.33,28.33
0.27,0.86,2.4,11.66,13.34,30,12.67,3.33,53,29.33,26.67
0.59,0.92,18.7,16.67,13.67,38.34,13.17,6.17,69.17,32.5,23.33
0.38,1.01,2.75,21.67,19,40,13.67,2.67,70.5,25.67,26.67
0.83,1.36,2.46,51.67,34.67,61.67,24.83,6.33,78,48,53.33
1.05,1.59,1.87,61.67,62.17,83.33,30.67,7.17,85.33,71,51.67
0.05,1.7,1.42,61.67,65.66,85,30.67,5.5,69,71.67,56.67
0,1.79,1.71,56.67,67.83,85,25,7,56.66,61.83,55
0,1.89,2.03,60,63.67,71.67,25.83,6.83,82.5,65.83,63.33
0.12,1.95,1.77,48.33,56,66.67,19.33,5.33,58.34,59.5,58.33
1.42,1.98,1.33,50,44.67,65,17.83,4.33,57.83,56,46.67
0.88,2.06,1.62,53.33,39,53.34,17.33,3.5,53.17,63,45
1.02,2,1.15,48.34,38.84,50,17.17,3,53.83,54,60
0.3,1.93,0.78,51.66,40.17,48.33,19.33,4,58.34,54.5,53.33
1.27,1.85,1.08,43.33,36.5,46.66,17.17,3.5,48.66,49.5,48.33
1.02,1.94,1.4,46.66,34.34,43.34,20.5,2.83,47.5,51,43.33
1.16,2.01,0.8,46.66,40,50,20.17,3.5,46,52.17,45
0.53,2.12,2.51,51.66,36.67,48.33,16,3.67,50.67,54,55
1.13,2.18,3.38,55,28.83,51.66,19,2.67,71,55.83,48.33
1.13,2.05,1.85,50,30.83,50,16.5,2.17,48.33,57.83,51.67
1.15,1.59,0.75,31.67,26.33,41.67,12.67,2,49.5,41.5,43.33
0.77,1.56,1.32,33.34,24,40,20.17,1.5,53,36.5,33.33
0.6,1.29,0.65,25,17.67,36.67,8.67,1.17,54.5,30.17,45
0.47,1.19,0.98,18.34,16.5,28.34,6.33,1,64.66,24.67,40
0.32,1.1,1.22,8.33,14.83,31.67,6,1.67,50.5,22.67,26.67
0.33,1.07,2.52,8.33,13,26.67,12.17,2.17,44,16.83,25
0.2,1.04,2,8.33,13.83,28.34,6.17,0.83,63.5,21.67,20
0.47,1.09,2.23,11.67,14.83,30,5.83,1.67,66.5,20,25
0.22,1.16,2.05,23.33,19.67,35,8.67,4.33,42,27,26.67
0.97,1.48,2.07,41.66,25,45,15.17,4.5,36.5,41.67,38.33
0.82,2.06,2.6,56.67,34.83,55,22.17,6.33,46.67,58.67,53.33
0,2.58,2.27,63.34,45.67,58.33,26.5,7,64.83,68,63.33
0.58,2.72,1.92,65,47.16,61.67,21,3.67,67.33,69.67,65
0.23,2.9,1.37,58.34,39,53.33,20.67,3.33,53.66,60.67,60
0.17,2.75,1.35,51.66,34.17,43.34,19,3,46.5,55.33,51.67
0.65,2.57,0.95,51.67,29.16,36.66,18.17,2.33,45.33,56.17,53.33
1.87,2.61,0.65,45,29.17,35,18,3.67,39.5,50.67,51.67
1.2,2.21,0.77,46.67,25.5,33.34,17.67,3.33,38.17,47.83,51.67
1.23,2.17,0.83,40,24.34,28.33,21.5,2.33,35,45.67,43.33
1.68,2.18,1.5,43.34,25.83,33.34,20,2.33,42.66,45.83,45
1.12,2.21,1.73,50,27,38.33,15.83,2.5,39.67,51,48.33
1.5,2.2,1.44,48.34,29.5,40,14.33,2.5,48.84,47.33,51.67
1.25,2.11,1.69,51.66,27.16,38.33,17,3.17,51.66,48.67,43.33
1.88,2.07,1.07,43.34,26.83,45,14.33,2.5,43,44.67,41.67
1.28,1.73,1.08,36.66,26,33.34,12.17,1.67,42.84,37.17,43.33
0.65,1.5,0.69,26.67,21.16,30,19.67,1.5,39.5,30,38.33
0.37,1.35,0.8,18.34,18.33,33.33,8.17,1.5,43.17,27.83,36.67
0.45,1.23,1.5,15,13.66,26.67,6.17,1.33,42.17,20.83,26.67
0.57,1.07,1.18,10,13,28.33,6.17,3.33,47.66,21,23.33
0.32,1.09,2.25,8.33,13.5,25,11.67,2.17,40.66,14,21.67
0.27,1.05,1.64,6.66,12.17,28.34,5,1.17,42.16,14.83,13.33
0.2,0.99,1.97,10,15.33,28.34,5.33,2,45.33,14.67,15
0.33,1.09,1.82,18.34,15.34,35,7.33,4.33,34.5,20.67,18.33
0.5,1.44,1.97,30,20.67,33.33,12.33,4.17,30.33,32.33,28.33
0.63,1.8,1.69,46.67,23.67,38.33,19.5,3,38.67,46.33,41.67
0,2.39,1.78,61.67,28.33,43.33,25.83,4.33,52,57.5,51.67
0.32,2.87,1.4,66.67,35.67,45,20.17,4.67,60.66,66.17,65
1.52,2.99,1.28,61.66,34.83,45,21.17,4.83,55.67,59.5,60
1.58,3.16,1.13,58.34,28.67,41.67,19.83,3.67,48.67,67.83,55
0.58,2.66,1.2,51.66,25,40,18.17,3.17,46.67,58,56.67
0,2.52,0.82,48.33,26.33,38.33,16.83,2.33,36.17,50.5,55
1.55,2.35,0.75,41.67,23.83,35,16.33,2.17,33.34,43.17,46.67
0.32,2.13,0.65,38.33,22,30,20.5,2,36.33,39,45
1.64,2.43,1.59,43.34,26.67,33.34,20.17,2.67,38.17,44.33,45
1.44,2.42,1.6,45,25.83,40,14.67,2.5,45.67,48.17,43.33
2.07,2.5,2.07,53.33,35,40,16.17,3.67,55.67,48.33,50
1.1,2.46,2.58,56.67,29,41.67,18.83,4,53,52.83,48.33
1.86,2.24,2.73,48.33,32.17,50,16.83,2.5,50,54.17,51.67
0.87,1.86,1.38,41.67,30.17,38.33,13,2,62.5,42.33,41.67
0.67,1.48,2.1,33.34,23.17,35,20.83,2,55,29.17,35
0.35,1.22,0.79,21.67,17.16,33.33,11.33,2.17,53.84,25,28.33
0.38,1.07,0.6,15,14.83,25,10.5,1.33,52.17,23,21.67
0.22,0.99,2.17,10,12.5,31.67,12.5,3.67,36.67,18.67,16.67
0.15,0.94,2.55,6.66,12.5,26.67,12.5,3.17,34.33,15.17,21.67
0.2,1,2.4,13.34,13.5,31.66,12.83,6.17,35.34,15.5,15
0.2,1.1,2.5,15,16.5,35,13.83,2.67,67.17,18,20
0.53,1.49,2.33,50,29.67,53.33,17.83,4.83,64,55.83,35
0.53,1.73,2.1,55,52.17,75,29.17,5.5,69.17,63.5,46.67
1.27,1.86,2.38,61.67,51.17,75,28.17,4.17,79,60.33,53.33
0.27,1.96,1.91,58.33,56.67,75,24.83,4,72.66,60.83,61.67
0,2.06,1.2,53.33,56.16,68.33,18.17,5.83,55.5,61,56.67
0,2.13,1.04,55,54.5,61.67,19.83,5.83,59.83,57.17,46.67
0.9,2.16,1.63,50,44.33,51.67,18,6.83,54.33,55.83,50
0.61,2.25,1.26,51.66,35.67,46.66,18,6.33,49.67,54,53.33
1.08,2.19,1.04,46.67,38.33,48.33,16.33,5.83,44.67,54.5,50
0.87,2.11,0.52,45,37.5,48.33,17.83,5,46,52,46.67
0.89,2.03,0.59,41.67,32.84,41.67,16,3.67,41.17,47,40
0.83,2.12,0.9,38.33,32.33,45,20.67,3.33,52.67,47.83,51.67
0.14,2.2,0.49,41.67,32.67,45,19.83,3.5,48.16,48.17,41.67
1.28,2.32,1.45,48.34,35,48.33,16,3.33,52.66,49.83,43.33
0.06,2.38,2.51,53.33,34,50,19.67,4.17,62.67,55.33,50
0.02,2.24,1.25,58.34,38.5,51.67,19.5,3.5,54.83,56.83,55
1.2,1.73,0.88,43.33,33.5,41.67,15,3.33,52.5,45.17,43.33
